,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Total
09/05/2015,1,3,1,2,0,1,0,1,0,0,0,3,0,0,0,2,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,20
10/05/2015,0,1,0,1,0,2,2,0,0,0,1,2,0,2,0,4,1,0,0,1,0,3,0,1,1,1,0,0,2,0,0,0,25
11/05/2015,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,3,1,0,0,0,1,1,0,2,1,0,0,0,2,0,0,0,17
12/05/2015,2,0,0,0,0,0,0,0,0,0,1,5,0,0,2,6,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,24
13/05/2015,2,2,0,0,1,1,0,1,1,0,1,3,0,0,1,5,1,0,0,0,4,1,0,2,1,0,0,0,1,0,0,0,28
14/05/2015,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,4,2,0,0,0,2,1,0,0,0,0,0,0,3,0,0,1,19
15/05/2015,1,2,2,3,0,1,1,0,0,0,0,5,0,1,1,5,1,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1,30
16/05/2015,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,3,2,0,2,0,1,5,0,1,0,1,0,1,1,0,1,4,29
17/05/2015,0,1,0,0,0,0,0,4,1,0,0,2,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,22
18/05/2015,0,5,1,1,0,1,0,0,1,0,0,2,0,0,6,6,2,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,31
19/05/2015,0,1,1,3,0,1,0,0,0,0,0,7,0,0,0,3,1,0,1,1,0,0,0,0,0,2,0,0,3,0,0,3,27
20/05/2015,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,2,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,14
21/05/2015,1,2,0,1,1,0,0,0,0,1,1,3,0,1,0,3,2,0,1,2,0,2,0,0,0,0,0,1,0,0,0,1,23
22/05/2015,1,3,0,1,0,1,0,3,0,2,0,5,0,1,1,4,1,0,1,1,2,1,0,0,3,1,1,0,1,1,0,1,36
23/05/2015,0,1,0,0,0,0,0,2,1,1,0,1,1,0,2,3,1,0,0,0,1,2,0,1,0,0,0,2,1,1,1,2,24
24/05/2015,1,0,1,1,0,1,1,0,0,0,0,2,1,0,2,4,3,1,0,0,0,1,0,1,0,1,0,1,0,0,2,0,24
